职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
c++ 开发工程师,10-15K·14薪,"['在校/应届', '本科']",['C++'],在校/应届,本科,北京,蔚领,100-499人,"['团建聚餐', '定期体检', '五险一金', '股票期权', '带薪年假', '节日福利']"
C/C++,5-10K,"['1-3年', '本科']","['C++', 'QT']",1-3年,本科,杭州,旭仁自动化,20-99人,['五险一金']
C/C++,8-13K,"['5-10年', '大专']",[],5-10年,大专,天津,山东企名科技,20-99人,[]
C/C++,13-15K,"['3-5年', '本科']","['C++', 'Python']",3-5年,本科,重庆,耀辰捷,100-499人,[]
C/C++,18-30K·13薪,"['在校/应届', '本科']","['C++', '分布式经验', 'PRC框架']",在校/应届,本科,深圳,XSKY星辰天合,100-499人,"['五险一金', '带薪年假', '年终奖', '补充医疗保险', '零食下午茶', '节日福利']"
C/C++,20-30K·16薪,"['在校/应届', '本科']",[],在校/应届,本科,上海,华为,10000人以上,"['免费班车', '节假日加班费', '补充医疗保险', '团建聚餐', '年终奖', '零食下午茶', '交通补助', '保底工资', '企业年金', '绩效奖金', '加班补助', '带薪年假', '股票期权', '法定节假日三薪', '夜班补助', '员工旅游', '定期体检', '意外险', '节日福利', '五险一金']"
c++/qt开发工程师,13-18K,"['3-5年', '学历不限']","['C++', 'QT', '图形开发经验']",3-5年,学历不限,上海,商缘软件,20-99人,"['带薪年假', '全勤奖', '加班补助', '五险一金', '节日福利', '定期体检', '年终奖']"
C/C++,12-15K,"['5-10年', '本科']","['C++', 'MySQL', 'Linux开发/部署经验']",5-10年,本科,沈阳,上海鸿亦昌实业,0-20人,"['团建聚餐', '全勤奖', '年终奖', '交通补助', '包住', '零食下午茶', '绩效奖金', '工龄奖', '五险一金']"
C++(QT)工程师,15-25K·14薪,"['1-3年', '大专']","['C++', 'QT', 'SQL', 'Socket技术']",1-3年,大专,北京,瑞尔天天,20-99人,"['工龄奖', '节日福利', '交通补助', '带薪年假', '员工旅游', '餐补', '普调薪资', '加班补助', '年终奖', '定期体检', '全勤奖', '免费班车', '五险一金']"
C/C++,14-15K,"['5-10年', '大专']","['C', '分布式经验', 'MySQL', 'Oracle', 'Linux开发/部署经验']",5-10年,大专,南宁,合肥玖灵羊网络科技,0-20人,[]
短期C/C++,13-14K,"['3-5年', '本科']","['C', 'QT']",3-5年,本科,上海,军地智慧,100-499人,[]
C/C++,9-12K,"['3-5年', '大专']","['C++', 'QT', 'Linux开发/部署经验']",3-5年,大专,大连,启迪,20-99人,[]
后端研发C/C++,5-10K,"['3-5年', '本科']","['C++', 'QT', 'Boost', 'STL']",3-5年,本科,哈尔滨,光宇电气,100-499人,[]
C/C++,15-25K·13薪,"['3-5年', '本科']","['C++', 'QT']",3-5年,本科,深圳,纵维立方科技,1000-9999人,"['餐补', '团建聚餐', '员工旅游', '定期体检', '股票期权', '全勤奖', '交通补助', '年终奖', '五险一金', '带薪年假', '补充医疗保险', '节日福利', '零食下午茶', '工龄奖']"
C/C++,9-11K,"['3-5年', '本科']","['C', '日语']",3-5年,本科,大连,大连睿盛智达科技,0-20人,[]
C++ QT工程师,12000-20000元/月,"['1-3年', '大专']","['C++', 'C', 'QT']",1-3年,大专,荆门,空天数智,20-99人,"['意外险', '交通补助', '带薪司龄假', '五险一金', '员工旅游', '定期体检', '保底工资', '绩效奖金', '年终奖', '企业健身房', '团建聚餐', '有无线网', '法定节假日三薪', '股票期权', '生日福利', '节日福利', '带薪年假', '带薪路途假', '餐补', '零食下午茶']"
C/C++,20-30K,"['3-5年', '本科']","['C++', 'Python', '嵌入式软件经验', '工业相机', '工业机器人', '自动化工业']",3-5年,本科,上海,湖南某中型自动化设备公司,100-499人,[]
C/C++,6-11K,"['1年以内', '中专/中技']","['C++', '计算机相关专业']",1年以内,中专/中技,武汉,武汉果真网络科技,0-20人,"['底薪加提成', '五险一金', '全勤奖', '加班补助']"
C/C++,40-60K,"['3-5年', '本科']","['C++', 'C', '分布式经验', '存算分离', '存储', 'Linux开发/部署经验']",3-5年,本科,上海,携程集团,10000人以上,"['节日福利', '股票期权', '员工旅游', '混合办公', '带薪年假', '定期体检', '年终奖', '补充医疗保险', '五险一金']"
C/C++,15-30K,"['10年以上', '本科']","['C++', 'C', 'Python']",10年以上,本科,广州,霓樊科技,20-99人,[]
C++/qt开发工程师,10-15K·13薪,"['1-3年', '本科']","['C++', 'C语言', 'Qt项目开发经验', '音视频相关开发经验', '计算机相关专业']",1-3年,本科,广州,长鹏,100-499人,"['五险一金', '餐补', '住宿', '交通补助', '带薪年假', '节日福利', '零食下午茶', '住房补贴', '生日福利', '年终奖', '意外险', '员工旅游', '全勤奖', '宿舍有空调', '加班补助']"
C/C++,20-21K,"['1-3年', '本科']","['C++', 'C', '全日制统招本']",1-3年,本科,沈阳,某中型铁路/船舶/航空/航天制造公司,100-499人,[]
C/C++,15-30K,"['10年以上', '本科']","['C++', 'C', 'Python']",10年以上,本科,广州,霓樊科技,20-99人,[]
c++/qt开发工程师,9-14K·14薪,"['5-10年', '本科']","['C++', 'QT', 'MySQL', '架构设计经验', '上位机开发经验', 'Linux开发/部署经验']",5-10年,本科,保定,景欣智能,20-99人,"['餐补', '免费工装', '团建聚餐', '加班补助', '五险一金', '带薪年假', '法定节假日三薪', '工龄奖', '节日福利', '全勤奖', '定期体检', '意外险', '住房补贴', '年终奖', '员工旅游', '零食下午茶', '节假日加班费', '生日福利', '高温补贴']"
C/C++,13-15K,"['3-5年', '本科']","['C++', 'QT', '上位机开发经验']",3-5年,本科,重庆,纽斯达科技,20-99人,['五险一金']
C/C++,40-60K·15薪,"['5-10年', '本科']","['Golang', 'Java', 'C++', 'C', 'QT', '数据库开发经验', 'PostgreSQL', 'OpenGL', '桌面开发经验', 'MySQL', 'Oracle', 'Linux开发/部署经验', '鸿蒙系统开发经验', '图形开发经验', 'Python']",5-10年,本科,广州,某大型国有计算机软件公司,1000-9999人,"['定期体检', '企业年金', '五险一金', '节日福利', '年终奖', '带薪年假']"
软件工程师（C/C++）,20-40K,"['3-5年', '大专']","['C++', 'C', 'QT', '音视频经验', '数据库开发经验']",3-5年,大专,深圳,亿兴伟业,0-20人,"['五险', '团建聚餐', '节日福利', '餐补', '绩效奖金', '员工旅游']"
c++ 算法工程师,13-18K·13薪,"['1-3年', '本科']","['C++', 'STL', 'Boost', 'Linux开发/部署经验', '图形开发经验', '嵌入式软件经验']",1-3年,本科,嘉兴,苏州索亚,20-99人,"['股票期权', '员工旅游', '五险一金', '带薪年假', '年终奖']"
C/C++,8-13K,"['1-3年', '本科']","['C++', 'Linux开发/部署经验']",1-3年,本科,威海,渔翁信息技术股份有限公司,100-499人,"['有无线网', '包住', '免费班车', '宿舍有空调', '生日福利', '五险一金', '包吃', '年终奖', '节日福利']"
C++/Qt上位机开发,200-400元/天,"['1-3年', '本科']","['C++', '团队管理经验']",1-3年,本科,北京,芯博通,0-20人,"['带薪年假', '团建聚餐', '节日福利', '员工旅游', '保底工资', '免费工装', '零食下午茶', '年终奖', '免费班车', '定期体检', '交通补助', '五险一金', '国家法定节日']"
C/C++,11-18K,"['5-10年', '本科']",['C++'],5-10年,本科,南京,华苏科技,1000-9999人,"['定期体检', '五险一金', '节日福利', '带薪年假']"
C/C++,25-35K·16薪,"['在校/应届', '硕士']","['C++', 'C', 'MySQL']",在校/应届,硕士,杭州,阿里云,10000人以上,"['员工旅游', '带薪年假', '年终奖', '定期体检', '五险一金']"
C/C++,11-22K,"['1-3年', '本科']","['C++', 'QT', '上位机开发经验', '桌面开发经验', '图形开发经验', 'CNC相关的桌面应用', '扫描仪相关的桌面应用']",1-3年,本科,厦门,厦门链石科技,100-499人,"['全勤奖', '零食下午茶', '五险一金', '节日福利', '工龄奖', '带薪年假']"
C/C++,8-13K,"['1-3年', '本科']","['C++', 'QT', 'MySQL', 'Oracle', '数据库开发经验']",1-3年,本科,广州,广州悦羚设计工程,20-99人,['五险一金']
C/C++,6-10K,"['经验不限', '中专/中技']","['QT', '嵌入式软件经验', '架构设计经验', 'Linux开发/部署经验']",经验不限,中专/中技,惠州,鼎衡自动化,0-20人,"['节日福利', '免费工装', '五险一金', '包住', '餐补', '团建聚餐', '工龄奖', '绩效奖金', '住房补贴', '全勤奖', '带薪年假', '员工旅游', '节假日加班费', '加班补助', '保底工资', '有无线网', '年终奖', '法定节假日三薪']"
C++ CI/CD,25-35K·13薪,"['5-10年', '本科']","['C++', 'Linux开发/部署经验', 'Python']",5-10年,本科,合肥,某大型汽车研发制造公司,1000-9999人,"['年终奖', '企业年金', '意外险', '定期体检', '加班补助', '补充医疗保险', '餐补', '通讯补贴', '节日福利', '带薪年假']"
Middleware工程师（C++/Python),15-30K,"['经验不限', '本科']","['C++', '微服务经验', 'MySQL', 'Linux开发/部署经验', 'Python']",经验不限,本科,南京,南京格兰芬多科技,0-20人,"['节日福利', '带薪年假', '年终奖']"
C/C++,25-35K·16薪,"['在校/应届', '硕士']","['C++', 'C', 'MySQL']",在校/应届,硕士,杭州,阿里云,10000人以上,"['员工旅游', '带薪年假', '年终奖', '定期体检', '五险一金']"
C/C++,11-22K,"['1-3年', '本科']","['C++', 'QT', '上位机开发经验', '桌面开发经验', '图形开发经验', 'CNC相关的桌面应用', '扫描仪相关的桌面应用']",1-3年,本科,厦门,厦门链石科技,100-499人,"['全勤奖', '零食下午茶', '五险一金', '节日福利', '工龄奖', '带薪年假']"
C/C++,8-13K,"['1-3年', '本科']","['C++', 'QT', 'MySQL', 'Oracle', '数据库开发经验']",1-3年,本科,广州,广州悦羚设计工程,20-99人,['五险一金']
C＋＋/C语言开发,6-10K·15薪,"['经验不限', '大专']","['C++服务端开发经验', 'C++', 'Qt项目开发经验', 'C', 'QT', 'C语言', 'ARM开发', '机械臂', 'Python']",经验不限,大专,西安,西安云次幂,20-99人,[]
C/C++,9-12K,"['1-3年', '本科']","['C++', 'C', 'QT', 'MFC', '架构设计经验', 'Linux开发/部署经验']",1-3年,本科,深圳,双翌光电科技,20-99人,"['绩效奖金', '零食下午茶', '节假日加班费', '有无线网', '节日福利', '五险一金', '带薪年假']"
c++/qt开发工程师,17-30K,"['5-10年', '本科']","['C++', 'QT', 'MFC']",5-10年,本科,深圳,云泊软件,100-499人,"['带薪年假', '生日福利', '节日福利', '零食下午茶', '绩效奖金', '五险一金', '团建聚餐', '年终奖', '定期体检', '补充医疗保险', '交通补助']"
C/C++,12-16K,"['5-10年', '本科']","['C++', 'QT', 'Linux开发/部署经验']",5-10年,本科,南京,南京旭羽信息科技...,20-99人,"['五险一金', '节日福利']"
C++/qt开发工程师,10-15K·13薪,"['1-3年', '本科']","['C++', 'C语言', 'Qt项目开发经验', '音视频相关开发经验', '计算机相关专业']",1-3年,本科,广州,长鹏,100-499人,"['五险一金', '餐补', '住宿', '交通补助', '带薪年假', '节日福利', '零食下午茶', '住房补贴', '生日福利', '年终奖', '意外险', '员工旅游', '全勤奖', '宿舍有空调', '加班补助']"
Middleware工程师（C++/Python),15-30K,"['经验不限', '本科']","['C++', '微服务经验', 'MySQL', 'Linux开发/部署经验', 'Python']",经验不限,本科,南京,南京格兰芬多科技,0-20人,"['节日福利', '带薪年假', '年终奖']"
c/c++,10-13K,"['1-3年', '学历不限']","['C++', 'C', 'Python']",1-3年,学历不限,西安,汇裕四方,20-99人,"['年终奖', '带薪年假', '定期体检', '员工旅游', '五险一金']"
C/C++,20-30K,"['1-3年', '本科']","['C++', '量化交易开发经验', '金融']",1-3年,本科,上海,某中型大数据国企公司,100-499人,[]
C++ CI/CD,25-35K·13薪,"['5-10年', '本科']","['C++', 'Linux开发/部署经验', 'Python']",5-10年,本科,合肥,某大型汽车研发制造公司,1000-9999人,"['年终奖', '企业年金', '意外险', '定期体检', '加班补助', '补充医疗保险', '餐补', '通讯补贴', '节日福利', '带薪年假']"
UE开发（C++）,15-25K·13薪,"['3-5年', '本科']","['C++', 'UE4/5', '游戏后端经验']",3-5年,本科,北京,睿辰欣创,100-499人,"['股票期权', '节日福利', '年终奖', '岗位津贴', '定期体检', '带薪年假', '五险一金', '餐补']"
C/C++,6-10K,"['经验不限', '中专/中技']","['QT', '嵌入式软件经验', '架构设计经验', 'Linux开发/部署经验']",经验不限,中专/中技,惠州,鼎衡自动化,0-20人,"['节日福利', '免费工装', '五险一金', '包住', '餐补', '团建聚餐', '工龄奖', '绩效奖金', '住房补贴', '全勤奖', '带薪年假', '员工旅游', '节假日加班费', '加班补助', '保底工资', '有无线网', '年终奖', '法定节假日三薪']"
QT C++ GUI界面开发,150-300元/天,"['5天/周', '6个月', '硕士']","['C++', 'QT']",,硕士,深圳,秩益科技,20-99人,"['年终奖', '带薪年假', '法定节假日三薪', '五险一金']"
C/C++,12-13K,"['3-5年', '大专']","['C++', 'STL', 'Python']",3-5年,大专,广州,天湾数字技术,100-499人,[]
C/C++,11-17K,"['3-5年', '本科']","['C++', 'QT', 'Linux开发/部署经验']",3-5年,本科,西安,中科天塔,100-499人,"['节假日加班费', '定期体检', '通讯补贴', '五险一金', '团建聚餐', '零食下午茶', '餐补', '带薪年假', '免费工装', '年终奖', '绩效奖金', '员工旅游', '生日礼金', '生日福利', '家长会带薪假', '婚丧育礼金', '住院礼金', '过节费', '节日福利', '三八、六一']"
c++/qt工程师,15-28K,"['1-3年', '大专']",['C++'],1-3年,大专,苏州,某大型通用设备公司,100-499人,"['餐补', '通讯补贴', '住房补贴', '住房', '节日福利', '包住', '绩效奖金', '加班补助', '带薪年假', '节日福利', '宿舍有空调', '五险', '五险一金']"
C++ python 开发工程师,15-18K,"['1-3年', '本科']","['QT', 'Python', '算法基础', '图形图像处理', '高级软件工程师', 'Windows']",1-3年,本科,武汉,武汉瑞新昌,20-99人,['五险一金']
软件工程师（QT，C++）,20-35K,"['经验不限', '本科']","['C++', 'QT']",经验不限,本科,西安,某大型计算机软件公司,1000-9999人,[]
C/C++,15-30K,"['3-5年', '本科']","['C++', 'STL', 'Linux开发/部署经验', 'Python']",3-5年,本科,深圳,新译信息科技,100-499人,"['零食下午茶', '补充医疗保险', '五险一金', '节日福利', '年终奖', '股票期权', '全勤奖', '餐补', '交通补助', '带薪年假', '定期体检']"
C/C++,200-250元/时,"['1-3年', '本科']","['C++', 'Python']",1-3年,本科,成都,四川晨虹教育咨询...,0-20人,"['包住', '补充医疗保险', '全勤奖', '五险一金', '餐补', '节日福利', '带薪年假']"
C/C++,20-30K·14薪,"['3-5年', '本科']",['C++'],3-5年,本科,哈尔滨,长川科技,1000-9999人,"['包吃', '定期体检', '股票期权', '带薪年假', '年终奖', '团建聚餐', '五险一金', '补充医疗保险', '节日福利']"
C/C++,20-25K,"['经验不限', '硕士']","['C++', 'C', 'Java', 'Python', 'Linux开发/部署经验']",经验不限,硕士,西安,某大型已上市通用设备公司,10000人以上,"['包吃', '定期体检', '年终奖', '股票期权', '带薪年假', '通讯补贴', '免费班车', '五险一金']"
C++ 开发工程师,40-70K·24薪,"['经验不限', '学历不限']","['C++', 'Python', '量化交易开发经验', 'TCP']",经验不限,学历不限,上海,某小型金融衍生品市场服务公司,20-99人,"['补充医疗保险', '带薪年假', '年终奖', '五险一金', '零食下午茶', '定期体检']"
C/C++,7-9K,"['3-5年', '本科']","['C++', 'Boost', 'MFC', 'Linux开发/部署经验', '图形开发经验', '团队管理经验']",3-5年,本科,临沂,沂诚科技,0-20人,"['全勤奖', '工龄奖', '节假日加班费', '加班补助', '绩效奖金', '年终奖']"
C/C++,5-10K,"['经验不限', '本科']","['C++', 'MFC']",经验不限,本科,南昌,星卡科技,100-499人,"['人才住房', '年终奖', '餐补', '股票期权', '补充医疗保险', '带薪年假', '五险一金', '节日福利', '定期体检', '绩效奖金']"
C/C++,4-6K·13薪,"['经验不限', '本科']","['Golang', 'C++', '嵌入式软件经验', 'MySQL', '桌面开发经验', 'Python']",经验不限,本科,天津,畅赢网络,20-99人,"['夜班补助', '零食下午茶', '底薪加提成', '保底工资', '定期体检', '高温补贴', '通讯补贴', '节日福利', '带薪年假', '五险一金', '企业年金', '股票期权', '意外险', '年终奖', '免费工装', '绩效奖金', '餐补', '节假日加班费', '加班补助', '团建聚餐']"
C/C++,8-12K,"['在校/应届', '本科']","['C++', 'QT', 'OpenGL']",在校/应届,本科,杭州,杭州优仿,20-99人,"['员工旅游', '有无线网', '五险一金', '定期体检', '团建聚餐', '项目奖金', '节日福利', '年终奖', '带薪年假', '高温补贴', '零食下午茶', '生日福利']"
C++（QT),40-70K,"['3-5年', '本科']","['C++', 'C', 'Golang', 'QT', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '上位机开发经验']",3-5年,本科,深圳,某大型智能仓储解决方案公司,1000-9999人,"['健身房', '五险一金', '股票期权', '团建聚餐', '学习进修', '海外工作', '饭补', '零食下午茶', '带薪年假', '年终奖', '定期体检', '餐补', '节日福利']"
C++（QT),40-70K,"['3-5年', '本科']","['C++', 'C', 'Golang', 'QT', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '上位机开发经验']",3-5年,本科,深圳,某大型智能仓储解决方案公司,1000-9999人,"['健身房', '五险一金', '股票期权', '团建聚餐', '学习进修', '海外工作', '饭补', '零食下午茶', '带薪年假', '年终奖', '定期体检', '餐补', '节日福利']"
C/C++,7-12K,"['1-3年', '学历不限']","['C++', 'OpenGL']",1-3年,学历不限,沈阳,中航安科,20-99人,"['五险一金', '员工旅游', '13薪', '定期体检', '年终奖']"
C/C++,22-30K,"['5-10年', '大专']","['C++', 'QT', 'MySQL']",5-10年,大专,北京,北京脉推科技有限公司,100-499人,"['带薪年假', '绩效奖金', '年终奖', '五险一金']"
C/C++,7-12K,"['1-3年', '本科']","['C++', 'QT', 'MySQL']",1-3年,本科,武汉,辉煌电力工程,20-99人,"['交通补助', '五险一金', '通讯补贴', '年终奖', '全勤奖', '免费班车', '餐补', '包吃', '加班补助']"
C/C++,15-30K·14薪,"['经验不限', '本科']","['C++', 'C', '嵌入式软件经验', 'MySQL', 'Linux开发/部署经验', '鸿蒙系统开发经验']",经验不限,本科,济南,某大型互联网OTO平台上市公司,1000-9999人,"['通讯补贴', '补充医疗保险', '员工旅游', '五险一金', '定期体检', '交通补助', '住房补贴', '零食下午茶', '节日福利', '带薪年假', '年终奖']"
C/C++,5-6K,"['经验不限', '大专']","['C++', 'C', '图形开发经验']",经验不限,大专,深圳,大卓智能科技有限公司,100-499人,"['团建聚餐', '节日福利', '零食下午茶', '年终奖', '意外险', '生日福利', '餐补', '带薪年假', '股票期权', '补充医疗保险', '定期体检', '五险一金']"
C/C++,12-20K,"['3-5年', '大专']","['C++', 'QT', '桌面开发经验', '图形开发经验', '上位机开发经验']",3-5年,大专,哈尔滨,哈尔滨三和微纳科技,20-99人,[]
C++ 开发工程师,19-25K,"['3-5年', '本科']","['C++', 'MySQL', '桌面开发经验']",3-5年,本科,北京,阳光雨露,1000-9999人,"['定期体检', '五险一金', '补充医疗保险', '企业年金', '带薪年假', '餐补', '节日福利']"
英文流利 C++ 投行部门,30-35K,"['5-10年', '本科']","['C++', 'Java', 'Python', 'C#', 'MySQL']",5-10年,本科,广州,某知名银行上市公司,1000-9999人,"['年终奖', '节日福利', '带薪年假', '五险一金', '企业年金', '定期体检', '加班补助', '补充医疗保险']"
C/C++,13-22K,"['3-5年', '本科']","['C++', '计算机相关专业', 'OpenCV', 'ROS2', 'Qt']",3-5年,本科,武汉,卓圣自动化,0-20人,"['节假日加班费', '法定节假日三薪', '年终奖', '员工旅游', '免费工装', '带薪年假', '通讯补贴', '生日福利', '零食下午茶', '五险一金', '团建聚餐', '意外险', '餐补', '节日福利', '高温补贴', '绩效奖金', '保底工资', '底薪加提成', '工龄奖']"
c++/qt工程师,10-15K,"['3-5年', '本科']","['C#', 'C++', 'QT', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '上位机开发经验']",3-5年,本科,沈阳,卡索航空,20-99人,"['年终奖', '全勤奖', '带薪年假', '节日福利', '加班补助', '五险一金', '零食下午茶']"
C/C++,12-17K,"['1-3年', '学历不限']","['C', 'C++']",1-3年,学历不限,上海,嘻码(上海),0-20人,[]
c++/qt开发工程师,15-30K,"['1-3年', '本科']","['C++', 'QT', '桌面开发经验', 'Linux开发/部署经验', '图形开发经验', 'Python']",1-3年,本科,珠海,珠海市睿晶聚源科...,20-99人,"['节日福利', '五险一金', '带薪年假', '零食下午茶', '餐补', '团建聚餐', '年终奖', '绩效奖金']"
C++ Qt实习生,150-300元/天,"['5天/周', '6个月', '本科']","['C++', 'QT']",,本科,北京,智之科技,20-99人,"['交通补助', '带薪年假', '团建聚餐', '年终奖', '五险一金', '零食下午茶', '加班补助', '节日福利']"
C/C++,50-80K·19薪,"['3-5年', '本科']","['C++', '搜索底层索引开发', '架构设计经验']",3-5年,本科,北京,沃东天骏信息技术,10000人以上,"['团建聚餐', '绩效奖金', '补充医疗保险', '餐补', '带薪年假', '年终奖', '免费班车', '股票期权', '定期体检', '节日福利', '五险一金']"
C/C++,20-40K·15薪,"['3-5年', '本科']","['C++', 'C', 'Linux开发/部署经验', '上位机开发经验']",3-5年,本科,深圳,深圳市新凯来技术,1000-9999人,"['免费班车', '节假日加班费', '定期体检', '法定节假日三薪', '五险一金', '补充医疗保险', '绩效奖金', '年终奖', '带薪年假', '团建聚餐', '零食下午茶', '意外险', '保底工资']"
C++  QT上位机开发,15-30K·13薪,"['5-10年', '硕士']","['C++', 'C', 'QT', 'MySQL', 'PostgreSQL', 'OpenGL', 'Linux开发/部署经验', '上位机开发经验', '嵌入式软件经验', '桌面开发经验']",5-10年,硕士,杭州,某大型电子商务公司,100-499人,"['五险一金', '年终奖', '股票期权', '底薪加提成', '意外险', '定期体检', '补充医疗保险', '带薪年假']"
C/C++,15-25K,"['经验不限', '本科']","['C++', '分布式经验', 'Python']",经验不限,本科,上海,斐德,100-499人,"['全勤奖', '补充医疗保险', '节日福利', '工龄福利', '加班补助']"
C/C++,8000-11000元/月,"['1-3年', '本科']","['C++', 'C', 'QT', '嵌入式软件经验', 'Linux开发/部署经验']",1-3年,本科,西安,陕西中盛,0-20人,"['出差补助', '交通补助', '五险一金', '餐补', '工龄奖', '带薪年假', '底薪加提成', '保底工资', '员工旅游', '团建聚餐', '年终奖', '全勤奖', '有无线网', '绩效奖金']"
C/C++,8-12K,"['3-5年', '本科']","['C++', 'OpenGL']",3-5年,本科,长沙,盛鼎科技,100-499人,"['宿舍有空调', '包住', '保底工资', '年终奖']"
c++/qt开发工程师,17-30K,"['5-10年', '本科']","['C++', 'QT', 'MFC']",5-10年,本科,深圳,云泊软件,100-499人,"['带薪年假', '生日福利', '节日福利', '零食下午茶', '绩效奖金', '五险一金', '团建聚餐', '年终奖', '定期体检', '补充医疗保险', '交通补助']"
Qt c++,5-10K,"['1-3年', '大专']","['C++', 'Halcon  固高', 'QT', '上位机开发经验']",1-3年,大专,广州,深圳市屹顺科技,20-99人,[]
C/C++,15-30K·13薪,"['1-3年', '本科']","['C++', 'Linux开发/部署经验']",1-3年,本科,上海,上海寅成智能科技,20-99人,"['带薪年假', '有无线网', '年终奖', '零食下午茶', '包吃', '绩效奖金', '股票期权', '团建聚餐', '节日福利', '五险一金']"
C/C++,7-11K,"['1-3年', '本科']","['汽车诊断', 'C++', 'C', 'STL', 'MFC']",1-3年,本科,武汉,武汉卡乐行科技,20-99人,['五险一金']
C++  QT软件工程师,11-22K,"['3-5年', '本科']","['C/C++', 'Linux', 'QT界面编程']",3-5年,本科,深圳,微尔纳高科,20-99人,[]
C/C++,10-13K,"['3-5年', '本科']","['C++', 'QT', '数据库开发经验', 'Linux开发/部署经验']",3-5年,本科,扬州,优玛软件,500-999人,"['五险一金', '交通补助', '餐补', '补充医疗保险', '节日福利', '生育礼金', '带薪年假', '入职周年礼', '员工旅游', '婚嫁礼金', '定期体检', '员工家属关怀', '生日礼卡']"
Windows C++,18-25K,"['3-5年', '本科']","['C++', '加速器']",3-5年,本科,成都,成都某中型游戏公司,100-499人,"['定期体检', '带薪年假', '零食下午茶', '员工旅游', '意外险', '节日福利', '五险一金', '加班补助', '生日福利', '关爱福利', '餐补', '营养工作两餐', '年终奖', '团建聚餐', '股票期权', '绩效奖金']"
C/C++,15-30K·13薪,"['3-5年', '本科']","['C++', 'QT', 'MFC', '电路原理图']",3-5年,本科,天津,某500强上市公司,100-499人,"['年终奖', '五险一金', '绩效奖金', '生日福利', '底薪加提成', '餐补', '法定节假日三薪', '保底工资', '节日福利', '带薪年假']"
C/C++,40-70K·16薪,"['5-10年', '本科']","['C++', 'Golang', 'OpenGL', '音视频经验', '音视频', '转码']",5-10年,本科,上海,某大型电子商务上市公司,1000-9999人,"['补充医疗保险', '定期体检', '带薪年假', '零食下午茶', '五险一金']"
C/C++,150-200元/天,"['经验不限', '大专']","['C++', '团队管理经验', 'Python']",经验不限,大专,广州,广州新知点教育科技,100-499人,['团建聚餐']
C++、Python讲师,10-15K,"['1-3年', '本科']","['C++', '少儿兴趣班', '线下教学', '教研', '线下授课', '日常教学', 'Python']",1-3年,本科,北京,北京码高教育公司,100-499人,"['带薪年假', '免费工装', '五险一金', '加班补助']"
C++  QT软件工程师,11-22K,"['3-5年', '本科']","['C/C++', 'Linux', 'QT界面编程']",3-5年,本科,深圳,微尔纳高科,20-99人,[]
C/C++,15-25K,"['经验不限', '本科']","['C++', '分布式经验', 'Python']",经验不限,本科,上海,斐德,100-499人,"['全勤奖', '补充医疗保险', '节日福利', '工龄福利', '加班补助']"
C/C++,10-15K,"['3-5年', '本科']","['C++', 'C', 'Linux开发/部署经验', '嵌入式软件经验', 'MBD软件开发', 'matlab/simulink']",3-5年,本科,杭州,软件评测,1000-9999人,"['通讯补贴', '年终奖', '五险一金', '餐补', '带薪年假']"
C/C++,18-28K,"['5-10年', '大专']","['C++', '团队管理经验', 'QT', 'AI大模型', '自动化', '管理流程', 'Python', 'autosar']",5-10年,大专,武汉,武汉绛芸科技有限公司,20-99人,[]
C/C++,10-13K,"['3-5年', '本科']","['C++', 'QT', '数据库开发经验', 'Linux开发/部署经验']",3-5年,本科,扬州,优玛软件,500-999人,"['五险一金', '交通补助', '餐补', '补充医疗保险', '节日福利', '生育礼金', '带薪年假', '入职周年礼', '员工旅游', '婚嫁礼金', '定期体检', '员工家属关怀', '生日礼卡']"
Windows C++,18-25K,"['3-5年', '本科']","['C++', '加速器']",3-5年,本科,成都,成都某中型游戏公司,100-499人,"['定期体检', '带薪年假', '零食下午茶', '员工旅游', '意外险', '节日福利', '五险一金', '加班补助', '生日福利', '关爱福利', '餐补', '营养工作两餐', '年终奖', '团建聚餐', '股票期权', '绩效奖金']"
c++/qt开发工程师,10-15K,"['3-5年', '大专']","['C++', 'QT', '桌面开发经验', 'osgEarth']",3-5年,大专,大连,清研科技,100-499人,"['定期体检', '节日福利', '带薪年假', '五险一金', '年终奖']"
C/C++,40-70K·16薪,"['5-10年', '本科']","['C++', 'Golang', 'OpenGL', '音视频经验', '音视频', '转码']",5-10年,本科,上海,某大型电子商务上市公司,1000-9999人,"['补充医疗保险', '定期体检', '带薪年假', '零食下午茶', '五险一金']"
C/C++,20-25K,"['3-5年', '本科']","['机器学习', '图像生成', 'SLAM算法', '传统图像算法', 'C/C++', '图像处理库（OpenCV等）', 'HALCON', '团队管理经验', '优秀开源项目经历', '总部深圳，到时中山两边兼顾']",3-5年,本科,深圳,宏友金钻石工具,20-99人,[]
C/C++,10-15K,"['3-5年', '本科']","['C++', '分布式经验', 'QT', '嵌入式软件经验', 'MySQL', 'OpenGL', '架构设计经验', '上位机开发经验', 'Python']",3-5年,本科,成都,四川拱宸航空工程技术,20-99人,"['绩效奖金', '五险一金']"
c++ (base 芜湖）,13-17K,"['3-5年', '大专']","['C++', 'OpenGL']",3-5年,大专,北京,欣迈未来,0-20人,[]
