职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
java技术专家岗（电商方向）,25-50K·16薪,"['3-5年', '本科']","['Java', '微服务经验', 'MySQL', '架构设计经验', 'Spring']",3-5年,本科,杭州,快手,10000人以上,"['带薪年假', '五险一金', '定期体检', '股票期权', '节日福利', '补充医疗保险', '年终奖']"
数据应用序列助理工程师岗（应用开发方向）,16-30K,"['3-5年', '本科']","['不接受居家办公', 'Java', 'C', 'C++', 'Python', 'PHP', 'Spring', 'Tomcat', 'Zookeeper', 'JVM', 'Oracle', 'Spark', 'Hive', 'Hadoop']",3-5年,本科,北京,民生科技,1000-9999人,"['团建聚餐', '意外险', '包吃', '节日福利', '免费班车', '绩效奖金', '五险一金', '带薪年假', '高温补贴', '交通补助', '补充医疗保险', '生日福利', '定期体检', '餐补', '年终奖']"
资深JAVA软件工程师,25-45K·17薪,"['5-10年', '大专']","['微服务架构', '搜索引擎技术', '分布式技术', '后端开发', 'Spring', '金融保险', 'code revie', '高并发']",5-10年,大专,上海,某大型互联网金融公司,500-999人,"['五险一金', '带薪年假', '员工旅游', '节日福利', '年终奖']"
Java,12-13K,"['1-3年', '本科']","['Java', 'Spring', 'MySQL']",1-3年,本科,上海,嘻码(上海),0-20人,[]
高级开发工程师,18-25K,"['5-10年', '本科']","['Java', 'MySQL', 'Hadoop', 'MyBatis', 'Redis', 'Spring', 'Flink']",5-10年,本科,重庆,数宜信,100-499人,"['五险一金', '节日福利', '零食下午茶', '带薪年假']"
中级java开发工程师,16-18K,"['3-5年', '本科']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle', '微服务经验']",3-5年,本科,成都,广东楷泉科技有限公司,20-99人,[]
java工程师,10-15K,"['1-3年', '本科']","['JVM', 'flink', 'Java', 'Hive', 'SpringCloud', 'MySQL', 'Hadoop', 'MyBatis', 'Redis', 'Spring']",1-3年,本科,深圳,科杰科技,100-499人,"['带薪年假', '补充医疗保险', '股票期权', '节日福利', '定期体检', '团建聚餐', '绩效奖金', '年终奖', '员工旅游', '零食下午茶', '五险一金']"
资深java开发工程师（车联网）,28-35K·14薪,"['5-10年', '本科']","['Java', 'SpringCloud', 'MySQL', '车联网', '物联网']",5-10年,本科,深圳,地上铁,1000-9999人,"['年终奖', '餐补', '零食下午茶', '工龄奖', '团建聚餐', '生日福利', '带薪年假', '通讯补贴', '节日福利', '全勤奖', '五险一金', '高温补贴', '定期体检', '意外险', '员工旅游']"
【校招】【正式批】服务端研发工程师,25-45K·18薪,"['在校/应届', '本科']","['Golang', 'MySQL', '分布式经验', '微服务经验']",在校/应届,本科,上海,上海从鲸信息技术,500-999人,[]
日本企业IT开发岗位（PG/SE/PL/PM）,20-40K·15薪,"['3-5年', '本科']","['Java', '微服务经验', 'MySQL', 'Spring']",3-5年,本科,大连,某大型计算机软件公司,100-499人,[]
Java后端开发（乌鲁木齐）,7-12K,"['3-5年', '本科']","['Java', 'Spring', 'SpringCloud', 'Kafka', 'Docker', '不接受居家办公', 'MySQL', 'Oracle', 'SQL Server', '电网经验优先']",3-5年,本科,乌鲁木齐,北京国泰京电,100-499人,"['意外险', '节日福利', '年终奖', '有无线网', '交通补助', '定期体检', '包吃']"
java初级工程师,7-12K,"['1-3年', '学历不限']",['impala'],1-3年,学历不限,北京,初联科技,20-99人,"['零食下午茶', '节假日加班费', '生日福利', '有无线网', '员工旅游', '五险一金', '节日福利', '通讯补贴', '带薪年假', '定期体检', '团建聚餐']"
【急招】AI Agent工程师,30-60K·20薪,"['3-5年', '本科']","['Golang', 'Java', 'C++', 'Hibernate', '不接受居家办公', 'C', '分布式经验', 'SpringCloud', 'Kafka', 'Redis', 'Dubbo', 'SQL Server', 'HBase', '微服务经验', 'MySQL', 'Netty', 'MongoDB', '架构设计经验', 'Python']",3-5年,本科,北京,京东零售,10000人以上,"['餐补', '团建聚餐', '五险一金', '免费班车', '零食下午茶', '全勤奖', '带薪年假', '法定节假日三薪', '年终奖', '员工旅游', '生日福利', '补充医疗保险', '节日福利', '股票期权', '工龄奖', '定期体检', '保底工资', '绩效奖金']"
Java开发工程师（ 急招，面试快）,9-14K,"['3-5年', '本科']","['Java', 'SpringCloud', 'MyBatis', 'MySQL', '微服务经验', '熟悉基本数据结构', '算法/多线程/设计模式', '熟练使用SQL编程', '、熟练使用Git、Maven', '熟悉容器化技术']",3-5年,本科,西安,北京金科吉瑞科技,100-499人,[]
java开发工程师,9-14K,"['3-5年', '本科']","['Java', '不接受居家办公', '分布式经验', 'SpringCloud', 'Redis', '架构设计经验']",3-5年,本科,赣州,中电金信,10000人以上,"['补充医疗保险', '五险一金', '节日福利', '定期体检']"
高级java开发工程师,16-23K,"['5-10年', '本科']","['JVM', 'Java', '大数据经验', '微服务经验', 'ClickHouse', 'SpringCloud', 'MySQL', '接受无前端经验/技能', 'Redis', '架构设计经验']",5-10年,本科,深圳,知舟,20-99人,"['零食下午茶', '加班补助', '五险一金', '带薪年假']"
Java兼职,7000-8000元/月,"['3-5年', '本科']",['Java'],3-5年,本科,北京,徐州实万网络科技,20-99人,"['节日福利', '餐补', '带薪年假', '零食下午茶', '生日福利', '全勤奖', '团建聚餐']"
高级Java开发工程师,25-30K·16薪,"['经验不限', '本科']","['JVM', 'Java', '分布式经验', 'PostgreSQL', 'SpringCloud', 'Redis', '信贷系统平台', 'Spring', '微服务经验', '金融APP', 'Zookeeper', 'MySQL', 'MyBatis', 'MongoDB', '架构设计经验']",经验不限,本科,上海,某大型互联网金融服务上市公司,1000-9999人,"['年终奖', '带薪年假', '五险一金', '节日福利', '员工旅游', '股票期权', '零食下午茶', '补充医疗保险', '定期体检']"
技术开发实习生,100-150元/天,"['4天/周', '3个月', '本科']","['JVM', 'Java', 'agent', 'MySQL', '人工智能', 'MyBatis', 'Python']",,本科,北京,讯兔科技,20-99人,"['股票期权', '生日福利', '补充医疗保险', '年终奖', '五险一金', '员工旅游', '节日福利', '通讯补贴', '带薪年假', '零食下午茶', '团建聚餐', '交通补助', '加班补助']"
Java技术专家,50-80K,"['5-10年', '本科']","['Java', 'Spring', 'Oracle', 'MySQL']",5-10年,本科,上海,共识投资管理,20-99人,[]
java开发工程师,11-12K,"['3-5年', '大专']","['Java', 'Spring', 'SpringCloud', 'MySQL', '微服务经验', '不接受居家办公']",3-5年,大专,杭州,深圳市科南数字信...,0-20人,[]
Java开发工程师,30-50K·13薪,"['5-10年', '本科']","['Java', '接受居家办公', 'Spring', 'SpringCloud', 'MyBatis', 'Zookeeper', 'MySQL', 'Redis', '区块链经验', '高并发金融系统', '金融财务系统', 'Java财务系统', '清结算开发', '人工智能']",5-10年,本科,北京,北京海昌瑞驰科技,100-499人,"['股票期权', '带薪年假', '团建聚餐', '定期体检', '年终奖', '五险一金']"
基础架构研发专家,50-80K·15薪,"['10年以上', '本科']","['Java', 'Python', '微服务经验', '架构设计经验', '分布式经验', '可观测性', '分布式文件存储']",10年以上,本科,广州,某大型互联网上市集团公司,1000-9999人,"['带薪年假', '餐补', '生日福利', '年终奖', '住房补贴', '节日福利', '全勤奖', '五险一金', '团建聚餐', '股票期权', '定期体检', '补充医疗保险', '保底工资']"
高级java,18-23K,"['5-10年', '本科']","['Java', '大数据经验', 'Hibernate', '资金资管领', 'SpringCloud', '风险绩效类项目', 'Oracle']",5-10年,本科,苏州,Kmerit,500-999人,"['五险一金', '零食下午茶', '住房补贴', '员工旅游', '交通补助', '补充医疗保险', '定期体检', '通讯补贴', '节日福利', '带薪年假', '年终奖', '餐补']"
Java开发工程师（鸿蒙）,6-11K,"['1-3年', '本科']","['Java', '不接受居家办公', '分布式经验', '微服务经验', 'SpringCloud', 'MySQL', 'Spring', 'Oracle']",1-3年,本科,武汉,德科信息有限公司,1000-9999人,"['股票期权', '节日福利', '带薪年假', '五险一金', '团建聚餐', '生日福利']"
java工程师,15-25K·15薪,"['经验不限', '本科']","['Java', 'MyBatis', 'Redis', '分布式经验', '不接受居家办公', '汽车行业']",经验不限,本科,北京,经纬恒润,1000-9999人,"['交通补助', '定期体检', '节日福利', '带薪年假', '绩效奖金', '年终奖', '五险一金', '团建聚餐', '通讯补贴', '住房补贴', '员工旅游', '餐补']"
商家平台高级Java开发工程师/专家-信息工程,35-50K·16薪,"['3-5年', '本科']","['Java', 'Spring', 'SpringCloud', 'JVM', 'MySQL', '架构设计经验']",3-5年,本科,北京,杭州高德云图,10000人以上,[]
品牌广告开发工程师/专家,30-60K·15薪,"['3-5年', '本科']","['Java', 'C++', '搜索/推荐/广告经验']",3-5年,本科,北京,某知名互联网公司,1000-9999人,[]
