职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
网络学徒,3-4K,"['经验不限', '学历不限']","['通信设备商', '可兼职', '接受无网络工程师经验']",经验不限,学历不限,北京,尚武天成,0-20人,"['底薪加提成', '五险一金']"
网络运维值班岗,8-10K,"['1-3年', '本科']","['不需要出差', '有网络工程师经验', '1到3年网络工程师经验', '计算机相关专业']",1-3年,本科,北京,长安通信,1000-9999人,"['节日福利', '餐补', '带薪年假', '包吃', '定期体检', '年终奖', '五险一金']"
网络交付实施工程师,12-20K·14薪,"['5-10年', '本科']","['有网络工程师经验', 'Python', '系统集成商', '3到5年网络工程师经验', '通信相关专业', '计算机相关专业', '熟悉Linux等操作系统', 'CCIE/HCIE等', 'tcp/ip', 'Linux', '网络安全', '部署', '实施交付']",5-10年,本科,北京,卓讯,100-499人,"['年终奖', '通讯补贴', '补充医疗保险', '交通补助', '股票期权', '带薪年假', '五险一金', '加班补助', '餐补', '员工旅游', '节日福利', '定期体检']"
网络工程师,23-35K·16薪,"['经验不限', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '5年以上网络工程师经验', '大型网络实施', '大型网络运维', '金融网络运维', '网络架构设计', 'CCNA/HCIA等', 'CCNP/HCIP等', 'CCIE/HCIE等', 'PMP证书', 'CCNP', 'CCIE']",经验不限,本科,北京,某大型医疗服务公司,1000-9999人,[]
网络工程师,15-25K,"['5-10年', '大专']","['有网络工程师经验', 'Java', '甲方企业', '5年以上网络工程师经验', '计算机相关专业', '通信相关专业', '熟悉Linux等操作系统', 'PMP证书', 'CCNA/HCIA等', 'CCNP/HCIP等', 'CCIE/HCIE等']",5-10年,大专,北京,北京脉推科技有限公司,100-499人,"['年终奖', '五险一金', '带薪年假', '绩效奖金']"
网络技术主管,12-18K,"['5-10年', '本科']","['有网络工程师经验', '5年以上网络工程师经验', '网络架构设计', '大型网络实施', '大型网络运维', 'CCIE/HCIE等', '运营商', '不需要出差']",5-10年,本科,北京,天天网联,20-99人,"['五险一金', '节日福利', '带薪年假']"
网络工程师,6-10K,"['3-5年', '本科']","['不需要出差', '有网络工程师经验', '网络基础', '熟悉Linux等操作系统', '大型网络实施', '计算机相关专业', '3到5年网络工程师经验', '大型网络运维']",3-5年,本科,北京,安信天行,500-999人,"['定期体检', '年终奖', '补充医疗保险', '餐补', '生日福利', '带薪年假', '节日福利', '五险一金', '加班补助', '交通补助', '通讯补贴']"
网络运维,8-9K,"['1年以内', '本科']","['网络运维', 'TCP/IP']",1年以内,本科,北京,宇信科技,1000-9999人,"['节日福利', '年终奖', '团建聚餐', '带薪年假', '通讯补贴', '定期体检', '五险一金', '补充医疗保险']"
信息化管理岗,25-30K,"['3-5年', '本科']","['有网络工程师经验', '1到3年网络工程师经验', '计算机相关专业', '信息与通信工程']",3-5年,本科,北京,中型互联网公司,100-499人,[]
中级网络工程师,8-13K,"['3-5年', '本科']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '5年以上网络工程师经验', '计算机相关专业', '大型网络运维', 'CCNP/HCIP等', 'CCIE/HCIE等']",3-5年,本科,北京,天信瑞安,100-499人,"['节日福利', '交通补助', '餐补', '带薪年假', '补充医疗保险', '五险一金', '全勤奖', '年终奖', '定期体检', '加班补助', '通讯补贴']"
网络安全运维工程师,4-7K,"['1-3年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '1到3年网络工程师经验', '计算机相关专业', '大型网络运维', '网络架构设计', '金融网络运维', '数据中心运维', 'CCNP/HCIP等', 'CCIE/HCIE等', 'CCNA/HCIA等', '熟悉网络安全理论知识', '熟悉网络攻击防御措施', '熟悉入侵检测', '漏洞扫描、数据加密']",1-3年,本科,北京,北京曼达瑞科技信...,20-99人,[]
网络工程师,14-16K,"['5-10年', '大专']","['CCNP/HCIP等', 'CCIE/HCIE等', '不需要出差', '通信相关专业', 'PMP证书', '有网络工程师经验', 'CCNA/HCIA等', '3到5年网络工程师经验', '运营商']",5-10年,大专,北京,宁夏银洲科技有限公司,0-20人,[]
